Employee,Risk_%,Top_Driver,Employee_Value,Population_Avg,Contribution,Direction
3478,85.3,Application ID,2762.0,7489.08,-81.2885,▼ risk
11163,85.0,Application ID,8844.0,7489.08,23.2996,▲ risk
11175,85.0,Application ID,8854.0,7489.08,23.4716,▲ risk
11171,85.0,Application ID,8851.0,7489.08,23.42,▲ risk
11167,85.0,Application ID,8847.0,7489.08,23.3512,▲ risk
2498,84.9,MonthlyRate,3372.0,14297.63,-219.307,▼ risk
2505,84.9,MonthlyRate,3372.0,14297.63,-219.307,▼ risk
11165,84.6,Application ID,0.0,7489.08,-128.7847,▼ risk
11176,84.6,Application ID,8855.0,7489.08,23.4888,▲ risk
11173,84.6,Application ID,8852.0,7489.08,23.4372,▲ risk
11168,84.6,Application ID,8848.0,7489.08,23.3684,▲ risk
6002,84.0,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
5994,84.0,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
5998,84.0,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
5990,84.0,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
14875,83.8,Application ID,11823.0,7489.08,74.5275,▲ risk
3489,83.5,MonthlyRate,23281.0,14297.63,180.3205,▲ risk
3481,83.5,MonthlyRate,23281.0,14297.63,180.3205,▲ risk
5999,83.1,MonthlyRate,7103.0,14297.63,-144.4157,▼ risk
5991,83.1,MonthlyRate,7103.0,14297.63,-144.4157,▼ risk
10654,82.3,MonthlyRate,8870.0,14297.63,-108.9472,▼ risk
10646,82.3,MonthlyRate,8870.0,14297.63,-108.9472,▼ risk
12476,81.2,MonthlyRate,17258.0,14297.63,59.4226,▲ risk
10650,81.1,MonthlyRate,7129.0,14297.63,-143.8938,▼ risk
12470,81.0,MonthlyRate,7129.0,14297.63,-143.8938,▼ risk
12471,81.0,MonthlyRate,8213.0,14297.63,-122.135,▼ risk
12478,81.0,MonthlyRate,7129.0,14297.63,-143.8938,▼ risk
12479,81.0,MonthlyRate,8213.0,14297.63,-122.135,▼ risk
12481,80.5,MonthlyRate,17258.0,14297.63,59.4226,▲ risk
12467,80.5,Application ID,0.0,7489.08,-128.7847,▼ risk
12469,80.5,MonthlyRate,17258.0,14297.63,59.4226,▲ risk
12472,80.5,MonthlyRate,17258.0,14297.63,59.4226,▲ risk
12473,80.5,MonthlyRate,17258.0,14297.63,59.4226,▲ risk
12475,80.5,MonthlyRate,17258.0,14297.63,59.4226,▲ risk
12477,80.5,MonthlyRate,17258.0,14297.63,59.4226,▲ risk
12480,80.5,MonthlyRate,17258.0,14297.63,59.4226,▲ risk
10658,80.0,MonthlyRate,8870.0,14297.63,-108.9472,▼ risk
10660,80.0,MonthlyRate,8870.0,14297.63,-108.9472,▼ risk
10651,80.0,MonthlyRate,8870.0,14297.63,-108.9472,▼ risk
13281,80.0,MonthlyRate,2097.0,14297.63,-244.8997,▼ risk
13289,80.0,MonthlyRate,2097.0,14297.63,-244.8997,▼ risk
273,79.8,Application ID,223.0,7489.08,-124.9499,▼ risk
176,79.1,Application ID,141.0,7489.08,-126.36,▼ risk
20074,78.1,Application ID,0.0,7489.08,-128.7847,▼ risk
20066,78.1,Application ID,0.0,7489.08,-128.7847,▼ risk
8835,77.6,MonthlyRate,7360.0,14297.63,-139.257,▼ risk
17359,77.6,Application ID,13809.0,7489.08,108.6794,▲ risk
8827,77.6,MonthlyRate,7360.0,14297.63,-139.257,▼ risk
17363,77.6,Application ID,13812.0,7489.08,108.731,▲ risk
17367,77.6,Application ID,13815.0,7489.08,108.7826,▲ risk
17355,77.6,Application ID,13805.0,7489.08,108.6106,▲ risk
8824,77.6,MonthlyRate,7360.0,14297.63,-139.257,▼ risk
8832,77.6,MonthlyRate,7360.0,14297.63,-139.257,▼ risk
482,76.7,MonthlyRate,21293.0,14297.63,140.416,▲ risk
475,76.7,MonthlyRate,21293.0,14297.63,140.416,▲ risk
485,76.7,MonthlyRate,21293.0,14297.63,140.416,▲ risk
472,76.7,MonthlyRate,21293.0,14297.63,140.416,▲ risk
17774,76.5,MonthlyRate,26619.0,14297.63,247.3232,▲ risk
17775,76.5,MonthlyRate,26619.0,14297.63,247.3232,▲ risk
17765,76.5,MonthlyRate,26619.0,14297.63,247.3232,▲ risk
17767,76.5,MonthlyRate,26619.0,14297.63,247.3232,▲ risk
17768,76.5,MonthlyRate,26619.0,14297.63,247.3232,▲ risk
17772,76.5,MonthlyRate,26619.0,14297.63,247.3232,▲ risk
16354,76.2,MonthlyRate,21436.0,14297.63,143.2864,▲ risk
16346,76.2,MonthlyRate,21436.0,14297.63,143.2864,▲ risk
4835,76.1,MonthlyRate,3064.0,14297.63,-225.4894,▼ risk
4828,76.1,MonthlyRate,3064.0,14297.63,-225.4894,▼ risk
16276,75.8,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
16268,75.8,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
16272,75.8,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
16264,75.8,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
2925,75.6,MonthlyRate,4605.0,14297.63,-194.5573,▼ risk
486,75.6,MonthlyRate,21293.0,14297.63,140.416,▲ risk
476,75.6,MonthlyRate,21293.0,14297.63,140.416,▲ risk
474,75.6,MonthlyRate,21293.0,14297.63,140.416,▲ risk
484,75.6,MonthlyRate,21293.0,14297.63,140.416,▲ risk
13277,75.3,Application ID,10548.0,7489.08,52.6022,▲ risk
13285,75.3,Application ID,10555.0,7489.08,52.7225,▲ risk
5992,75.2,Application ID,0.0,7489.08,-128.7847,▼ risk
16274,75.2,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
16266,75.2,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
16262,75.2,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
16270,75.2,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
20063,75.0,Application ID,15980.0,7489.08,146.0126,▲ risk
20071,75.0,Application ID,15987.0,7489.08,146.133,▲ risk
14660,74.9,MonthlyRate,25308.0,14297.63,221.0079,▲ risk
11063,74.9,MonthlyRate,4050.0,14297.63,-205.6977,▼ risk
1772,74.2,MonthlyRate,4567.0,14297.63,-195.3201,▼ risk
1779,74.2,MonthlyRate,4567.0,14297.63,-195.3201,▼ risk
392,73.4,MonthlyRate,7324.0,14297.63,-139.9796,▼ risk
382,73.4,MonthlyRate,7324.0,14297.63,-139.9796,▼ risk
394,73.4,MonthlyRate,7324.0,14297.63,-139.9796,▼ risk
384,73.4,MonthlyRate,7324.0,14297.63,-139.9796,▼ risk
13288,73.1,Application ID,0.0,7489.08,-128.7847,▼ risk
13280,73.1,Application ID,0.0,7489.08,-128.7847,▼ risk
19549,72.9,Application ID,15561.0,7489.08,138.8074,▲ risk
19546,72.9,Application ID,15559.0,7489.08,138.773,▲ risk
19542,72.9,Application ID,15555.0,7489.08,138.7042,▲ risk
19541,72.9,Application ID,15554.0,7489.08,138.687,▲ risk
19538,72.9,Application ID,15551.0,7489.08,138.6354,▲ risk
19550,72.9,Application ID,0.0,7489.08,-128.7847,▼ risk
10984,72.7,MonthlyRate,21530.0,14297.63,145.1732,▲ risk
10976,72.7,MonthlyRate,21530.0,14297.63,145.1732,▲ risk
13290,72.5,MonthlyRate,3164.0,14297.63,-223.4821,▼ risk
22057,72.5,Application ID,17564.0,7489.08,173.2516,▲ risk
22065,72.5,Application ID,17571.0,7489.08,173.372,▲ risk
13282,72.5,MonthlyRate,3164.0,14297.63,-223.4821,▼ risk
8826,72.3,MonthlyRate,7360.0,14297.63,-139.257,▼ risk
8836,72.3,MonthlyRate,7360.0,14297.63,-139.257,▼ risk
8828,72.3,MonthlyRate,7360.0,14297.63,-139.257,▼ risk
8834,72.3,MonthlyRate,7360.0,14297.63,-139.257,▼ risk
397,72.2,Application ID,331.0,7489.08,-123.0927,▼ risk
387,72.2,Application ID,322.0,7489.08,-123.2475,▼ risk
698,72.1,MonthlyRate,21923.0,14297.63,153.0618,▲ risk
4827,72.1,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
706,72.1,MonthlyRate,21923.0,14297.63,153.0618,▲ risk
4823,72.1,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
4834,72.1,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
4826,72.0,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
4833,72.0,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
10974,72.0,MonthlyRate,18798.0,14297.63,90.3346,▲ risk
10982,72.0,MonthlyRate,18798.0,14297.63,90.3346,▲ risk
22055,71.9,Application ID,17562.0,7489.08,173.2172,▲ risk
22063,71.9,Application ID,17569.0,7489.08,173.3376,▲ risk
398,71.6,Application ID,332.0,7489.08,-123.0755,▼ risk
388,71.6,Application ID,0.0,7489.08,-128.7847,▼ risk
17358,71.4,Application ID,13808.0,7489.08,108.6622,▲ risk
17366,71.4,Application ID,13814.0,7489.08,108.7654,▲ risk
16353,71.3,Application ID,0.0,7489.08,-128.7847,▼ risk
19543,71.3,Application ID,15556.0,7489.08,138.7214,▲ risk
19551,71.3,Application ID,15562.0,7489.08,138.8245,▲ risk
16345,71.3,Application ID,13012.0,7489.08,94.9739,▲ risk
5993,70.9,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
6001,70.9,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
20328,70.8,Application ID,16194.0,7489.08,149.6926,▲ risk
20320,70.8,Application ID,16187.0,7489.08,149.5723,▲ risk
16931,70.6,Application ID,13465.0,7489.08,102.7638,▲ risk
11055,70.6,MonthlyRate,4050.0,14297.63,-205.6977,▼ risk
16919,70.6,Application ID,13457.0,7489.08,102.6263,▲ risk
16921,70.6,Application ID,13458.0,7489.08,102.6435,▲ risk
16923,70.6,Application ID,13459.0,7489.08,102.6607,▲ risk
16924,70.6,Application ID,13460.0,7489.08,102.6779,▲ risk
16927,70.6,Application ID,13463.0,7489.08,102.7295,▲ risk
16929,70.6,Application ID,0.0,7489.08,-128.7847,▼ risk
16932,70.6,Application ID,13466.0,7489.08,102.781,▲ risk
6122,70.6,MonthlyRate,4652.0,14297.63,-193.6139,▼ risk
6115,70.6,MonthlyRate,4652.0,14297.63,-193.6139,▼ risk
6118,70.6,MonthlyRate,4652.0,14297.63,-193.6139,▼ risk
6121,70.6,MonthlyRate,4652.0,14297.63,-193.6139,▼ risk
6129,70.6,MonthlyRate,4652.0,14297.63,-193.6139,▼ risk
6125,70.6,MonthlyRate,4652.0,14297.63,-193.6139,▼ risk
17771,70.5,MonthlyRate,26619.0,14297.63,247.3232,▲ risk
17763,70.5,MonthlyRate,26619.0,14297.63,247.3232,▲ risk
22062,70.4,Application ID,17568.0,7489.08,173.3204,▲ risk
10535,70.2,MonthlyRate,18016.0,14297.63,74.6378,▲ risk
10539,70.2,Application ID,0.0,7489.08,-128.7847,▼ risk
10527,70.2,MonthlyRate,18016.0,14297.63,74.6378,▲ risk
10530,70.2,Application ID,0.0,7489.08,-128.7847,▼ risk
310,70.0,Application ID,257.0,7489.08,-124.3653,▼ risk
318,70.0,Application ID,265.0,7489.08,-124.2277,▼ risk
329,70.0,Application ID,274.0,7489.08,-124.0729,▼ risk
314,70.0,Application ID,261.0,7489.08,-124.2965,▼ risk
14566,69.2,MonthlyRate,21221.0,14297.63,138.9708,▲ risk
14558,69.2,MonthlyRate,21221.0,14297.63,138.9708,▲ risk
705,69.1,MonthlyRate,21923.0,14297.63,153.0618,▲ risk
702,69.1,MonthlyRate,21923.0,14297.63,153.0618,▲ risk
694,69.1,MonthlyRate,21923.0,14297.63,153.0618,▲ risk
697,69.1,MonthlyRate,21923.0,14297.63,153.0618,▲ risk
6786,69.0,MonthlyRate,21526.0,14297.63,145.0929,▲ risk
6790,69.0,MonthlyRate,21526.0,14297.63,145.0929,▲ risk
6783,69.0,MonthlyRate,21526.0,14297.63,145.0929,▲ risk
6779,69.0,MonthlyRate,21526.0,14297.63,145.0929,▲ risk
20620,68.9,MonthlyRate,6208.0,14297.63,-162.3808,▼ risk
20068,68.6,Application ID,15984.0,7489.08,146.0814,▲ risk
20076,68.6,Application ID,15991.0,7489.08,146.2018,▲ risk
20317,68.2,MonthlyRate,4567.0,14297.63,-195.3201,▼ risk
20325,68.2,MonthlyRate,4567.0,14297.63,-195.3201,▼ risk
2917,68.0,MonthlyRate,4605.0,14297.63,-194.5573,▼ risk
14867,68.0,Application ID,0.0,7489.08,-128.7847,▼ risk
20688,67.7,MonthlyRate,4567.0,14297.63,-195.3201,▼ risk
20696,67.7,MonthlyRate,4567.0,14297.63,-195.3201,▼ risk
10659,67.6,MonthlyRate,7129.0,14297.63,-143.8938,▼ risk
1830,67.5,MonthlyRate,26897.0,14297.63,252.9035,▲ risk
6534,67.5,MonthlyRate,7428.0,14297.63,-137.8921,▼ risk
6542,67.5,MonthlyRate,7428.0,14297.63,-137.8921,▼ risk
1837,67.5,MonthlyRate,26897.0,14297.63,252.9035,▲ risk
1835,67.5,MonthlyRate,26897.0,14297.63,252.9035,▲ risk
6535,67.5,MonthlyRate,8232.0,14297.63,-121.7536,▼ risk
1842,67.5,MonthlyRate,26897.0,14297.63,252.9035,▲ risk
7731,67.3,MonthlyRate,11512.0,14297.63,-55.9151,▼ risk
7734,67.3,Application ID,0.0,7489.08,-128.7847,▼ risk
7738,67.3,Application ID,0.0,7489.08,-128.7847,▼ risk
7741,67.3,MonthlyRate,11512.0,14297.63,-55.9151,▼ risk
10649,66.9,Application ID,0.0,7489.08,-128.7847,▼ risk
466,66.8,MonthlyRate,6986.0,14297.63,-146.7642,▼ risk
1817,66.8,MonthlyRate,26959.0,14297.63,254.148,▲ risk
1824,66.8,MonthlyRate,26959.0,14297.63,254.148,▲ risk
456,66.8,MonthlyRate,6986.0,14297.63,-146.7642,▼ risk
6777,66.7,MonthlyRate,21526.0,14297.63,145.0929,▲ risk
6782,66.7,MonthlyRate,21526.0,14297.63,145.0929,▲ risk
6789,66.7,MonthlyRate,21526.0,14297.63,145.0929,▲ risk
454,66.6,MonthlyRate,6986.0,14297.63,-146.7642,▼ risk
464,66.6,MonthlyRate,6986.0,14297.63,-146.7642,▼ risk
21901,66.1,MonthlyRate,23352.0,14297.63,181.7457,▲ risk
21889,66.1,MonthlyRate,23352.0,14297.63,181.7457,▲ risk
21893,66.1,MonthlyRate,23352.0,14297.63,181.7457,▲ risk
21897,66.1,MonthlyRate,23352.0,14297.63,181.7457,▲ risk
313,66.0,Application ID,260.0,7489.08,-124.3137,▼ risk
328,66.0,Application ID,273.0,7489.08,-124.0901,▼ risk
330,66.0,Application ID,275.0,7489.08,-124.0557,▼ risk
315,66.0,Application ID,262.0,7489.08,-124.2793,▼ risk
6096,65.8,Application ID,4837.0,7489.08,-45.6061,▼ risk
6085,65.8,Application ID,4829.0,7489.08,-45.7437,▼ risk
6088,65.8,Application ID,4832.0,7489.08,-45.6921,▼ risk
22056,65.5,Application ID,17563.0,7489.08,173.2344,▲ risk
22059,65.5,Application ID,17565.0,7489.08,173.2688,▲ risk
22061,65.5,Application ID,17567.0,7489.08,173.3032,▲ risk
22064,65.5,Application ID,17570.0,7489.08,173.3548,▲ risk
22067,65.5,Application ID,0.0,7489.08,-128.7847,▼ risk
22068,65.5,Application ID,0.0,7489.08,-128.7847,▼ risk
22053,65.5,Application ID,17561.0,7489.08,173.2,▲ risk
22060,65.5,Application ID,17566.0,7489.08,173.286,▲ risk
20075,65.4,Application ID,15990.0,7489.08,146.1846,▲ risk
20067,65.4,Application ID,15983.0,7489.08,146.0642,▲ risk
4829,65.0,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
4825,65.0,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
1832,65.0,MonthlyRate,26897.0,14297.63,252.9035,▲ risk
1843,65.0,MonthlyRate,26897.0,14297.63,252.9035,▲ risk
1839,65.0,MonthlyRate,26897.0,14297.63,252.9035,▲ risk
1836,65.0,MonthlyRate,26897.0,14297.63,252.9035,▲ risk
4831,65.0,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
4830,65.0,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
4824,65.0,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
4832,65.0,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
4837,65.0,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
4836,65.0,MonthlyRate,25233.0,14297.63,219.5025,▲ risk
10846,64.8,Application ID,0.0,7489.08,-128.7847,▼ risk
10850,64.8,Application ID,0.0,7489.08,-128.7847,▼ risk
10854,64.8,MonthlyRate,11737.0,14297.63,-51.3988,▼ risk
10858,64.8,MonthlyRate,11737.0,14297.63,-51.3988,▼ risk
15,64.8,Application ID,11.0,7489.08,-128.5956,▼ risk
86,64.8,Application ID,67.0,7489.08,-127.6326,▼ risk
14569,64.4,MonthlyRate,21221.0,14297.63,138.9708,▲ risk
14561,64.4,MonthlyRate,21221.0,14297.63,138.9708,▲ risk
9505,64.1,MonthlyRate,26507.0,14297.63,245.0751,▲ risk
9494,64.1,MonthlyRate,26507.0,14297.63,245.0751,▲ risk
9497,64.1,MonthlyRate,26507.0,14297.63,245.0751,▲ risk
9502,64.1,MonthlyRate,26507.0,14297.63,245.0751,▲ risk
7207,64.0,MonthlyRate,20364.0,14297.63,121.7685,▲ risk
7729,64.0,MonthlyRate,11512.0,14297.63,-55.9151,▼ risk
7733,64.0,MonthlyRate,11512.0,14297.63,-55.9151,▼ risk
7740,64.0,MonthlyRate,11512.0,14297.63,-55.9151,▼ risk
7331,63.9,MonthlyRate,25291.0,14297.63,220.6667,▲ risk
1814,63.5,MonthlyRate,26959.0,14297.63,254.148,▲ risk
20687,63.3,MonthlyRate,4297.0,14297.63,-200.7397,▼ risk
20695,63.3,MonthlyRate,4297.0,14297.63,-200.7397,▼ risk
11061,63.0,MonthlyRate,9947.0,14297.63,-87.3289,▼ risk
21886,63.0,MonthlyRate,23352.0,14297.63,181.7457,▲ risk
21894,63.0,MonthlyRate,23352.0,14297.63,181.7457,▲ risk
21892,63.0,MonthlyRate,23352.0,14297.63,181.7457,▲ risk
21900,63.0,MonthlyRate,23352.0,14297.63,181.7457,▲ risk
11053,63.0,MonthlyRate,9947.0,14297.63,-87.3289,▼ risk
20964,62.6,Application ID,16705.0,7489.08,158.48,▲ risk
20956,62.6,Application ID,16701.0,7489.08,158.4112,▲ risk
20969,62.6,Application ID,16709.0,7489.08,158.5487,▲ risk
20961,62.6,Application ID,16703.0,7489.08,158.4456,▲ risk
467,62.5,MonthlyRate,6986.0,14297.63,-146.7642,▼ risk
457,62.5,MonthlyRate,6986.0,14297.63,-146.7642,▼ risk
5996,62.4,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
5988,62.4,MonthlyRate,25422.0,14297.63,223.2962,▲ risk
20359,62.0,Application ID,16218.0,7489.08,150.1053,▲ risk
20360,62.0,Application ID,16219.0,7489.08,150.1225,▲ risk
20352,62.0,Application ID,16213.0,7489.08,150.0194,▲ risk
20351,62.0,Application ID,16212.0,7489.08,150.0022,▲ risk
6095,61.6,Application ID,4836.0,7489.08,-45.6233,▼ risk
6087,61.6,Application ID,4831.0,7489.08,-45.7093,▼ risk
2922,61.5,Application ID,0.0,7489.08,-128.7847,▼ risk
2284,61.5,MonthlyRate,25150.0,14297.63,217.8364,▲ risk
2281,61.5,MonthlyRate,25150.0,14297.63,217.8364,▲ risk
2276,61.5,MonthlyRate,25150.0,14297.63,217.8364,▲ risk
2273,61.5,MonthlyRate,25150.0,14297.63,217.8364,▲ risk
2920,61.5,MonthlyRate,9241.0,14297.63,-101.5002,▼ risk
11051,61.5,MonthlyRate,9947.0,14297.63,-87.3289,▼ risk
2914,61.5,MonthlyRate,9241.0,14297.63,-101.5002,▼ risk
11059,61.5,Application ID,0.0,7489.08,-128.7847,▼ risk
2912,61.5,Application ID,0.0,7489.08,-128.7847,▼ risk
9500,61.4,MonthlyRate,26507.0,14297.63,245.0751,▲ risk
6325,61.4,MonthlyRate,26507.0,14297.63,245.0751,▲ risk
9504,61.4,MonthlyRate,26507.0,14297.63,245.0751,▲ risk
14562,61.4,MonthlyRate,4161.0,14297.63,-203.4696,▼ risk
9496,61.4,MonthlyRate,26507.0,14297.63,245.0751,▲ risk
1826,61.2,MonthlyRate,21030.0,14297.63,135.1369,▲ risk
16352,61.2,Application ID,13018.0,7489.08,95.0771,▲ risk
16344,61.2,Application ID,13011.0,7489.08,94.9567,▲ risk
1819,61.2,MonthlyRate,21030.0,14297.63,135.1369,▲ risk
468,61.1,MonthlyRate,6986.0,14297.63,-146.7642,▼ risk
458,61.1,MonthlyRate,6986.0,14297.63,-146.7642,▼ risk
16349,60.3,Application ID,13015.0,7489.08,95.0255,▲ risk
16341,60.3,Application ID,13008.0,7489.08,94.9051,▲ risk
13039,60.2,Application ID,10363.0,7489.08,49.4208,▲ risk
13047,60.2,Application ID,10368.0,7489.08,49.5068,▲ risk
13053,60.2,Application ID,10374.0,7489.08,49.61,▲ risk
13045,60.2,Application ID,10366.0,7489.08,49.4724,▲ risk
6128,60.1,MonthlyRate,23300.0,14297.63,180.7019,▲ risk
11930,60.1,Application ID,9469.0,7489.08,34.0473,▲ risk
11922,60.1,Application ID,9461.0,7489.08,33.9097,▲ risk
2131,60.0,MonthlyRate,26820.0,14297.63,251.3579,▲ risk
2139,60.0,MonthlyRate,26820.0,14297.63,251.3579,▲ risk
16269,59.9,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
16273,59.9,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
16265,59.9,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
16277,59.9,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
11393,59.8,Application ID,0.0,7489.08,-128.7847,▼ risk
11385,59.8,MonthlyRate,10322.0,14297.63,-79.8017,▼ risk
815,59.7,Application ID,661.0,7489.08,-117.418,▼ risk
818,59.7,Application ID,664.0,7489.08,-117.3664,▼ risk
818,59.7,Application ID,664.0,7489.08,-117.3664,▼ risk
815,59.7,Application ID,661.0,7489.08,-117.418,▼ risk
810,59.7,Application ID,656.0,7489.08,-117.5039,▼ risk
807,59.7,Application ID,653.0,7489.08,-117.5555,▼ risk
16267,59.6,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
16275,59.6,MonthlyRate,22262.0,14297.63,159.8665,▲ risk
20327,59.3,Application ID,16193.0,7489.08,149.6754,▲ risk
20319,59.3,Application ID,16186.0,7489.08,149.5551,▲ risk
21400,59.2,MonthlyRate,26092.0,14297.63,236.7449,▲ risk
21408,59.2,MonthlyRate,26092.0,14297.63,236.7449,▲ risk
2502,59.2,MonthlyRate,8504.0,14297.63,-116.2938,▼ risk
2495,59.2,MonthlyRate,8504.0,14297.63,-116.2938,▼ risk
6531,58.8,Application ID,5199.0,7489.08,-39.381,▼ risk
2494,58.6,Application ID,0.0,7489.08,-128.7847,▼ risk
10844,58.6,Application ID,0.0,7489.08,-128.7847,▼ risk
10849,58.6,MonthlyRate,11737.0,14297.63,-51.3988,▼ risk
10852,58.6,Application ID,0.0,7489.08,-128.7847,▼ risk
10857,58.6,MonthlyRate,11737.0,14297.63,-51.3988,▼ risk
116,58.4,Application ID,90.0,7489.08,-127.2371,▼ risk
115,58.4,Application ID,89.0,7489.08,-127.2543,▼ risk
112,58.4,Application ID,0.0,7489.08,-128.7847,▼ risk
101,58.4,Application ID,0.0,7489.08,-128.7847,▼ risk
100,58.4,Application ID,0.0,7489.08,-128.7847,▼ risk
97,58.4,Application ID,76.0,7489.08,-127.4778,▼ risk
95,58.4,Application ID,74.0,7489.08,-127.5122,▼ risk
108,58.4,Application ID,83.0,7489.08,-127.3574,▼ risk
814,58.3,MonthlyRate,26009.0,14297.63,235.0789,▲ risk
813,58.3,MonthlyRate,21534.0,14297.63,145.2535,▲ risk
821,58.3,MonthlyRate,21534.0,14297.63,145.2535,▲ risk
822,58.3,MonthlyRate,26009.0,14297.63,235.0789,▲ risk
814,58.3,MonthlyRate,26009.0,14297.63,235.0789,▲ risk
813,58.3,MonthlyRate,21534.0,14297.63,145.2535,▲ risk
11932,58.2,Application ID,0.0,7489.08,-128.7847,▼ risk
7335,58.2,MonthlyRate,25291.0,14297.63,220.6667,▲ risk
7342,58.2,MonthlyRate,25291.0,14297.63,220.6667,▲ risk
11924,58.2,Application ID,9463.0,7489.08,33.9441,▲ risk
949,58.1,Application ID,776.0,7489.08,-115.4404,▼ risk
941,58.1,Application ID,768.0,7489.08,-115.5779,▼ risk
943,58.1,Application ID,770.0,7489.08,-115.5436,▼ risk
935,58.1,Application ID,763.0,7489.08,-115.6639,▼ risk
22058,57.9,Application ID,0.0,7489.08,-128.7847,▼ risk
22066,57.9,Application ID,0.0,7489.08,-128.7847,▼ risk
17353,57.9,Application ID,13803.0,7489.08,108.5762,▲ risk
17361,57.9,Application ID,13810.0,7489.08,108.6966,▲ risk
7533,57.7,MonthlyRate,23914.0,14297.63,193.0266,▲ risk
7525,57.7,MonthlyRate,23914.0,14297.63,193.0266,▲ risk
7539,57.7,MonthlyRate,23914.0,14297.63,193.0266,▲ risk
14669,57.7,MonthlyRate,7172.0,14297.63,-143.0307,▼ risk
14661,57.7,MonthlyRate,7172.0,14297.63,-143.0307,▼ risk
7531,57.7,MonthlyRate,23914.0,14297.63,193.0266,▲ risk
2779,57.6,Application ID,0.0,7489.08,-128.7847,▼ risk
819,57.4,MonthlyRate,7324.0,14297.63,-139.9796,▼ risk
819,57.4,MonthlyRate,7324.0,14297.63,-139.9796,▼ risk
811,57.4,MonthlyRate,7324.0,14297.63,-139.9796,▼ risk
